Model,Task,Layer,PPL,Ablations
gemma,copa,0,20.448745344008447,0.26
gemma,copa,1,4.332417575375858,0.04200000000000004
gemma,copa,2,4.032415583183745,0.028000000000000025
gemma,copa,3,3.954686780005406,0.09599999999999997
gemma,copa,4,6.032668463234526,0.20399999999999996
gemma,copa,5,3.8809523559321564,0.10799999999999998
gemma,copa,6,3.840664968096276,0.09399999999999997
gemma,copa,7,2.208355149499739,0.018000000000000016
gemma,copa,8,3.033838932058,0.04800000000000004
gemma,copa,9,2.501208211991861,-0.010000000000000009
gemma,copa,10,2.8279574163273526,0.0040000000000000036
gemma,copa,11,2.1476334217247435,-0.020000000000000018
gemma,copa,12,2.828488961476224,0.01200000000000001
gemma,copa,13,0.1901992043345728,-0.02400000000000002
gemma,copa,14,0.0,0.02200000000000002
gemma,copa,15,3.026739094728228,0.05800000000000005
gemma,copa,16,2.7100029202264033,0.03200000000000003
gemma,copa,17,3.5561397471141065,0.0020000000000000018
gemma,copa,18,3.660072073284437,0.0040000000000000036
gemma,copa,19,3.7635158530650212,0.01200000000000001
gemma,copa,20,3.30263926722872,-0.0020000000000000018
gemma,copa,21,3.597154345210894,0.014000000000000012
gemma,copa,22,3.702038964754557,-0.0040000000000000036
gemma,copa,23,3.332252074315778,0.0
gemma,copa,24,4.037980313026809,0.01200000000000001
gemma,copa,25,3.6191540172776318,0.0020000000000000018
gemma,copa,26,4.455462248083076,-0.008000000000000007
gemma,copa,27,3.6027779259354427,-0.006000000000000005
gemma,copa,28,5.293550519577116,0.006000000000000005
gemma,copa,29,3.7408163979920386,0.008000000000000007
gemma,copa,30,5.572682367546068,0.008000000000000007
gemma,copa,31,3.729814176531451,0.006000000000000005
gemma,copa,32,3.9779396156464375,0.0040000000000000036
gemma,copa,33,4.454118410470119,-0.01200000000000001
gemma,csqa,0,10.179424033220707,0.6748566748566749
gemma,csqa,1,5.6182455494764065,0.06306306306306309
gemma,csqa,2,4.073374052882542,0.09254709254709259
gemma,csqa,3,9.260220735928826,0.506961506961507
gemma,csqa,4,9.00945787465912,0.6748566748566749
gemma,csqa,5,6.077866929353867,0.3374283374283375
gemma,csqa,6,6.644327818918099,0.4193284193284194
gemma,csqa,7,5.995452143150768,0.20966420966420968
gemma,csqa,8,7.862280649768001,0.2276822276822278
gemma,csqa,9,4.722649350522065,0.10319410319410327
gemma,csqa,10,4.9224014186585805,0.14660114660114665
gemma,csqa,11,5.258651450057363,0.20638820638820649
gemma,csqa,12,5.148261793793498,0.15888615888615887
gemma,csqa,13,5.553452770391618,0.1515151515151515
gemma,csqa,14,4.943570824424064,0.1990171990171991
gemma,csqa,15,2.8447116725397352,0.09336609336609336
gemma,csqa,16,2.317166302779549,0.038493038493038534
gemma,csqa,17,6.357713737914536,0.2702702702702703
gemma,csqa,18,4.791309401350333,0.018837018837018826
gemma,csqa,19,3.477165888376765,0.013104013104013101
gemma,csqa,20,2.0516508517723584,-0.0008190008190007703
gemma,csqa,21,3.1203359386214045,0.017199017199017175
gemma,csqa,22,4.336661686895551,0.0016380016380016515
gemma,csqa,23,0.0,0.002457002457002533
gemma,csqa,24,2.948835228129167,-0.006552006552006495
gemma,csqa,25,4.835455122147998,-0.010647010647010569
gemma,csqa,26,2.796647920274322,-0.004914004914004844
gemma,csqa,27,2.0783134303125244,0.0008190008190008813
gemma,csqa,28,2.873653788305275,-0.004095004095004073
gemma,csqa,29,4.04085262253356,-0.002457002457002422
gemma,csqa,30,3.9219682928098623,-0.003276003276003192
gemma,csqa,31,3.9766341455120675,0.002457002457002533
gemma,csqa,32,2.641237667065565,-0.004914004914004844
gemma,csqa,33,1.5115365833953307,-0.003276003276003192
gemma,siqa,0,7.455729344320159,0.65
gemma,siqa,1,6.770323868950561,0.10999999999999999
gemma,siqa,2,2.6615065090088716,0.01200000000000001
gemma,siqa,3,7.989160179167404,0.464
gemma,siqa,4,6.590843435786934,0.648
gemma,siqa,5,1.2263417837623654,0.24600000000000005
gemma,siqa,6,1.3236174953051596,0.29400000000000004
gemma,siqa,7,3.370162429200029,0.09399999999999997
gemma,siqa,8,4.5067716097634545,0.254
gemma,siqa,9,3.277531967365436,0.03600000000000003
gemma,siqa,10,2.4243235235372174,0.052000000000000046
gemma,siqa,11,1.8760075593401377,0.038000000000000034
gemma,siqa,12,4.225162110348323,0.06000000000000005
gemma,siqa,13,3.3109569857541574,0.06400000000000006
gemma,siqa,14,3.317196016629496,0.07200000000000006
gemma,siqa,15,0.0,0.03200000000000003
gemma,siqa,16,1.8047254163126263,0.04600000000000004
gemma,siqa,17,2.051054664592711,0.10199999999999998
gemma,siqa,18,3.07702472993404,-0.010000000000000009
gemma,siqa,19,2.751239157382718,-0.0020000000000000018
gemma,siqa,20,1.8129331597942142,0.0040000000000000036
gemma,siqa,21,3.189395152103273,0.006000000000000005
gemma,siqa,22,2.900027357394236,-0.0020000000000000018
gemma,siqa,23,0.40762092203919253,-0.0020000000000000018
gemma,siqa,24,3.128869571140212,-0.0020000000000000018
gemma,siqa,25,2.710908672948267,0.0
gemma,siqa,26,3.0139997691239064,0.0020000000000000018
gemma,siqa,27,3.0754263805476403,-0.0040000000000000036
gemma,siqa,28,2.825502545081729,0.0020000000000000018
gemma,siqa,29,3.4714779425641846,-0.0020000000000000018
gemma,siqa,30,3.3450626308025395,-0.006000000000000005
gemma,siqa,31,3.227014882180426,-0.008000000000000007
gemma,siqa,32,2.8935563914416167,0.0020000000000000018
gemma,siqa,33,2.1430436563360784,0.0
phi-tiny,csqa,0,5.940175463401667,2.0
phi-tiny,csqa,1,6.901656728927011,57.1
phi-tiny,csqa,2,6.212852772822738,60.3
phi-tiny,csqa,3,6.4180331685956755,24.7
phi-tiny,csqa,4,6.943744315314353,60.3
phi-tiny,csqa,5,4.997171373139405,60.7
phi-tiny,csqa,6,6.355973418543556,60.0
phi-tiny,csqa,7,0.0,62.9
phi-tiny,csqa,8,5.71766338626509,61.4
phi-tiny,csqa,9,6.4892937478277055,60.0
phi-tiny,csqa,10,6.03390098703522,60.9
phi-tiny,csqa,11,5.967548539088071,61.2
phi-tiny,csqa,12,5.6377493102058756,63.1
